fecha,año,mes,año_mes,sentimiento_textblob,cierre,Abrir,Alto,Bajo
2018-01-31,2018,1,2018-01,0.065228408625114,2823.81,2832.41,2839.26,2813.04
2018-03-21,2018,3,2018-03,0.0757304404316356,2711.93,2714.99,2739.14,2709.79
2018-05-02,2018,5,2018-05,0.0737277161947029,2635.67,2654.24,2660.87,2631.7
2018-06-13,2018,6,2018-06,0.0774918987953106,2775.63,2787.94,2791.47,2774.65
2018-08-01,2018,8,2018-08,0.0757892200280215,2813.36,2821.17,2825.83,2805.85
2018-09-26,2018,9,2018-09,0.0745035471269781,2905.97,2916.98,2931.15,2903.28
2018-11-08,2018,11,2018-11,0.0894200136534304,2806.83,2806.38,2814.75,2794.99
2018-12-19,2018,12,2018-12,0.083631087392315,2506.96,2547.05,2585.29,2488.96
2019-01-30,2019,1,2019-01,0.0612544663815279,2681.05,2653.62,2690.44,2648.34
2019-03-20,2019,3,2019-03,0.0748817807894353,2824.23,2831.34,2843.54,2812.43
2019-05-01,2019,5,2019-05,0.0811431321121875,2923.73,2952.33,2954.13,2923.36
2019-06-19,2019,6,2019-06,0.0730244382303631,2926.46,2920.55,2931.74,2911.43
2019-07-31,2019,7,2019-07,0.0869094033292598,2980.38,3016.22,3017.4,2958.08
2019-09-18,2019,9,2019-09,0.0776678729185095,3006.73,3001.5,3007.83,2978.57
2019-10-30,2019,10,2019-10,0.0747485029318222,3046.77,3039.74,3050.1,3025.96
2019-12-11,2019,12,2019-12,0.0669631979889946,3141.63,3135.75,3143.98,3133.21
2020-01-29,2020,1,2020-01,0.0522819381045962,3273.4,3289.46,3293.47,3271.89
2020-04-29,2020,4,2020-04,0.0904252194044583,2939.51,2918.46,2954.86,2912.16
2020-06-10,2020,6,2020-06,0.0939836271457621,3190.14,3213.42,3223.27,3181.49
2020-07-29,2020,7,2020-07,0.0903875822686798,3258.44,3227.22,3264.74,3227.22
2020-09-16,2020,9,2020-09,0.1137665927653791,3385.49,3411.23,3428.92,3384.45
2020-11-05,2020,11,2020-11,0.083311986975654,3510.45,3485.74,3529.05,3485.74
2020-12-16,2020,12,2020-12,0.0986693965936194,3701.17,3696.25,3711.27,3688.57
2021-01-27,2021,1,2021-01,0.0731516386403441,3750.77,3836.83,3836.83,3732.48
2021-03-17,2021,3,2021-03,0.0984992246559411,3974.12,3949.57,3983.87,3935.74
2021-04-28,2021,4,2021-04,0.0871192268153052,4183.18,4185.14,4201.53,4181.78
2021-06-16,2021,6,2021-06,0.0772987960326764,4223.7,4248.87,4251.89,4202.45
2021-07-28,2021,7,2021-07,0.0953970615803949,4400.64,4402.95,4415.47,4387.01
2021-09-22,2021,9,2021-09,0.0795983346932299,4395.64,4367.43,4416.75,4367.43
2021-11-03,2021,11,2021-11,0.0843444365957989,4660.57,4630.65,4663.46,4621.19
2021-12-15,2021,12,2021-12,0.0928119633731273,4709.85,4636.46,4712.6,4611.22
2022-01-26,2022,1,2022-01,0.0808401533358762,4349.93,4408.43,4453.23,4304.8
2022-03-16,2022,3,2022-03,0.1104847876686957,4357.86,4288.14,4358.9,4251.99
2022-05-04,2022,5,2022-05,0.1090818004027173,4300.17,4181.18,4307.66,4148.91
2022-06-15,2022,6,2022-06,0.0969525017142037,3789.99,3764.05,3837.56,3722.3
2022-07-27,2022,7,2022-07,0.0932795378449675,4023.61,3951.43,4039.56,3951.43
2022-09-21,2022,9,2022-09,0.0996275016171567,3789.93,3871.4,3907.07,3789.49
2022-11-02,2022,11,2022-11,0.1012027827637584,3759.69,3852.9,3894.44,3758.68
2022-12-14,2022,12,2022-12,0.0926780284489535,3995.32,4015.54,4053.76,3965.65
2023-02-01,2023,2,2023-02,0.074253570864899,4119.21,4070.07,4148.95,4037.2
2023-03-22,2023,3,2023-03,0.106612977214829,3936.97,4002.04,4039.49,3936.17
2023-05-03,2023,5,2023-05,0.0930261928811929,4090.75,4122.25,4148.3,4088.86
2023-06-14,2023,6,2023-06,0.087913771029498,4372.59,4366.29,4391.82,4337.85
2023-07-26,2023,7,2023-07,0.1055847763347764,4566.75,4558.96,4582.47,4547.58
2023-09-20,2023,9,2023-09,0.109284425461387,4402.2,4452.81,4461.03,4401.38
2023-11-01,2023,11,2023-11,0.1076624242424241,4237.86,4201.27,4245.64,4197.74
2023-12-13,2023,12,2023-12,0.0926204940237958,4707.09,4646.2,4709.69,4643.23
2024-01-31,2024,1,2024-01,0.0933246093403513,4845.65,4899.19,4906.75,4845.15
2024-03-20,2024,3,2024-03,0.0954920561871496,5224.62,5181.69,5226.19,5171.55
2024-05-01,2024,5,2024-05,0.0948940411440411,5018.39,5029.03,5096.12,5013.45
2024-06-12,2024,6,2024-06,0.09330173577762,5421.03,5409.13,5447.25,5409.13
2024-07-31,2024,7,2024-07,0.0808990263729599,5522.3,5505.59,5551.51,5493.75
2024-09-18,2024,9,2024-09,0.0945729044751845,5618.26,5641.68,5689.75,5615.08
2024-11-07,2024,11,2024-11,0.0927316006642929,5973.1,5947.21,5983.84,5947.21
2024-12-18,2024,12,2024-12,0.0886678745464687,5872.16,6047.65,6070.67,5867.79
2025-01-29,2025,1,2025-01,0.0842684953180876,6039.31,6057.7,6062.83,6012.96
2025-03-19,2025,3,2025-03,0.08377942787665,5675.29,5632.37,5715.33,5622.2
