fecha,año,mes,año_mes,sentimiento_textblob
2018-01-31,2018,1,2018-01,0.065228408625114
2018-03-21,2018,3,2018-03,0.0757304404316356
2018-05-02,2018,5,2018-05,0.0737277161947029
2018-06-13,2018,6,2018-06,0.0774918987953106
2018-08-01,2018,8,2018-08,0.0757892200280215
2018-09-26,2018,9,2018-09,0.0745035471269781
2018-11-08,2018,11,2018-11,0.0894200136534304
2018-12-19,2018,12,2018-12,0.083631087392315
2019-01-30,2019,1,2019-01,0.0612544663815279
2019-03-20,2019,3,2019-03,0.0748817807894353
2019-05-01,2019,5,2019-05,0.0811431321121875
2019-06-19,2019,6,2019-06,0.0730244382303631
2019-07-31,2019,7,2019-07,0.0869094033292598
2019-09-18,2019,9,2019-09,0.0776678729185095
2019-10-30,2019,10,2019-10,0.0747485029318222
2019-12-11,2019,12,2019-12,0.0669631979889946
2020-01-29,2020,1,2020-01,0.0522819381045962
2020-03-15,2020,3,2020-03,0.0763233018654705
2020-04-29,2020,4,2020-04,0.0904252194044583
2020-06-10,2020,6,2020-06,0.0939836271457621
2020-07-29,2020,7,2020-07,0.0903875822686798
2020-09-16,2020,9,2020-09,0.1137665927653791
2020-11-05,2020,11,2020-11,0.083311986975654
2020-12-16,2020,12,2020-12,0.0986693965936194
2021-01-27,2021,1,2021-01,0.0731516386403441
2021-03-17,2021,3,2021-03,0.0984992246559411
2021-04-28,2021,4,2021-04,0.0871192268153052
2021-06-16,2021,6,2021-06,0.0772987960326764
2021-07-28,2021,7,2021-07,0.0953970615803949
2021-09-22,2021,9,2021-09,0.0795983346932299
2021-11-03,2021,11,2021-11,0.0843444365957989
2021-12-15,2021,12,2021-12,0.0928119633731273
2022-01-26,2022,1,2022-01,0.0808401533358762
2022-03-16,2022,3,2022-03,0.1104847876686957
2022-05-04,2022,5,2022-05,0.1090818004027173
2022-06-15,2022,6,2022-06,0.0969525017142037
2022-07-27,2022,7,2022-07,0.0932795378449675
2022-09-21,2022,9,2022-09,0.0996275016171567
2022-11-02,2022,11,2022-11,0.1012027827637584
2022-12-14,2022,12,2022-12,0.0926780284489535
2023-02-01,2023,2,2023-02,0.074253570864899
2023-03-22,2023,3,2023-03,0.106612977214829
2023-05-03,2023,5,2023-05,0.0930261928811929
2023-06-14,2023,6,2023-06,0.087913771029498
2023-07-26,2023,7,2023-07,0.1055847763347764
2023-09-20,2023,9,2023-09,0.109284425461387
2023-11-01,2023,11,2023-11,0.1076624242424241
2023-12-13,2023,12,2023-12,0.0926204940237958
2024-01-31,2024,1,2024-01,0.0933246093403513
2024-03-20,2024,3,2024-03,0.0954920561871496
2024-05-01,2024,5,2024-05,0.0948940411440411
2024-06-12,2024,6,2024-06,0.09330173577762
2024-07-31,2024,7,2024-07,0.0808990263729599
2024-09-18,2024,9,2024-09,0.0945729044751845
2024-11-07,2024,11,2024-11,0.0927316006642929
2024-12-18,2024,12,2024-12,0.0886678745464687
2025-01-29,2025,1,2025-01,0.0842684953180876
2025-03-19,2025,3,2025-03,0.08377942787665
